name	city	address	lat	lon	video_url	embed_url
H? Soài Chek	An Giang Province	" Núi Tô, Tri Tôn, An Giang, Vi?t Nam"	10.40240967	104.9795975	https://www.tiktok.com/@langthang.angiang/video/7579875242076589330	https://www.tiktok.com/embed/7579875242076589330
H? Ô Tà Sóc	An Giang Province	"Tri Tôn, An Giang, Vi?t Nam"	10.46056811	104.941027	https://www.tiktok.com/@angiangbietgireviewnay/video/7498335091257642245	https://www.tiktok.com/embed/7498335091257642245
Ch? Trà Vinh	Tra Vinh Province	"124 ??c L?p, Ph??ng 3, Trà Vinh, Vi?t Nam"	9.935345715	106.3424232	https://www.tiktok.com/@quankhonggo/video/7263686696611351815	https://www.tiktok.com/embed/7263686696611351815
B?o tàng v?n hóa dân t?c Khmer	Tra Vinh Province	"Nguy?n Du, Ph??ng 8, Trà Vinh, Vi?t Nam"	9.916201246	106.3050165	https://www.tiktok.com/@diaphuongchi/video/7450166358849146119	https://www.tiktok.com/embed/7450166358849146119
Thi?n Vi?n Trúc Lâm Trà Vinh	Tra Vinh Province	"?p khoán ti?u, Th? xã, Th? xã Duyên H?i, Trà Vinh, Vi?t Nam"	9.645501843	106.5713757	https://www.tiktok.com/@haidang2428/video/7576127268938894613	https://www.tiktok.com/embed/7576127268938894613
Ao Bà Om	Tra Vinh Province	"68 Nguy?n Du, L??ng Hoà, Châu Thành, Trà Vinh, Vi?t Nam"	9.918206333	106.3041689	https://www.tiktok.com/@trogggveooo/video/7410446902912732437	https://www.tiktok.com/embed/7410446902912732437
Bi?n Ba ??ng	Tra Vinh Province	"Tr??ng Long Hoà, Th? xã Duyên H?i, Trà Vinh, Vi?t Nam"	9.633992232	106.5650827	https://www.tiktok.com/@cart.coffee.ba.ng/video/7570201726972693767	https://www.tiktok.com/embed/7570201726972693767
Chùa Cò	Tra Vinh Province	"?T914, ??i An, Trà Cú, Trà Vinh, Vi?t Nam"	9.644325613	106.3033322	https://www.tiktok.com/@thoailuca/video/7412482290686774529	https://www.tiktok.com/embed/7412482290686774529
Cánh ??ng Th?t N?t	Tra Vinh Province	"V?nh Trung, T?nh Biên, An Giang, Vi?t Nam"	10.54174293	105.0184861	https://www.tiktok.com/@gowith_we/video/7419973751606922512	https://www.tiktok.com/embed/7419973751606922512
Chùa Sleng C?	Tra Vinh Province	"?p B?n Chùa -Xã Ph??c H?ng -Huy?n -T?nh, 54, Ph??c H?ng, Trà Cú, Trà Vinh, Vi?t Nam"	9.746147594	106.2817308	https://www.tiktok.com/@mandikhapvietnam/video/7529528122669124871	https://www.tiktok.com/embed/7529528122669124871
Ch? V?nh Long	Vinh Long Province	"?oàn Th? ?i?m, Ph??ng 1, V?nh Long, Vi?t Nam"	10.25674442	105.9723667	https://www.tiktok.com/@quankhonggo/video/7260360900937370887	https://www.tiktok.com/embed/7260360900937370887
Làng G?m V?nh Long	Vinh Long Province	"M? Ph??c, Mang Thít, V?nh Long, Vi?t Nam"	10.22711702	106.0690536	https://www.tiktok.com/@gowith_we/video/7425610423350693138	https://www.tiktok.com/embed/7425610423350693138
Làng G?m T? Buôi	Vinh Long Province	"Khu Minh Linh, Ph??ng 5, V?nh Long, 890900, Vi?t Nam"	10.25624745	105.9932505	https://www.tiktok.com/@diicungtri/video/7463853515144842504	https://www.tiktok.com/embed/7463853515144842504
Chùa Ph?t Ng?c Xá L?i	Vinh Long Province	"QL1A, Tân Ngãi, V?nh Long, Vi?t Nam"	10.26482066	105.9154846	https://www.tiktok.com/@diicungtri/video/7524236021412760840	https://www.tiktok.com/embed/7524236021412760840
V?n Thánh Mi?u	Vinh Long Province	"Tr?n Phú, Ph??ng 4, V?nh Long, Vi?t Nam"	10.24277264	105.9846109	https://www.tiktok.com/@diaphuongchi/video/7473224593314942229	https://www.tiktok.com/embed/7473224593314942229
V?nh An Cung	Vinh Long Province	"22 Nguy?n Chí Thanh, Ph??ng 5, V?nh Long, Vi?t Nam"	10.25474707	105.978021	https://www.tiktok.com/@diaphuongchi/video/7472877569528892692	https://www.tiktok.com/embed/7472877569528892692
Ch? Quê Tân Thu?n ?ông	Dong Thap Province	"Tân Thu?n ?ông, Cao Lãnh, ??ng Tháp, Vi?t Nam"	10.41520427	105.6268264	https://www.tiktok.com/@thanhnureview/video/7546193972130073864	https://www.tiktok.com/embed/7546193972130073864
Ch? Tháp M??i	Dong Thap Province	"45 Tr?n Phú, TT. M? An, Tháp M??i, ??ng Tháp, Vi?t Nam"	10.51966299	105.844292	https://www.tiktok.com/@myymtoiroi/video/7542669564585266440	https://www.tiktok.com/embed/7542669564585266440
Khu Di Tích X?o Quít	Dong Thap Province	"M? Long, Cao Lãnh, ??ng Tháp, Vi?t Nam"	10.39461772	105.8046248	https://www.tiktok.com/@gowith_we/video/7424010876098710804	https://www.tiktok.com/embed/7424010876098710804
B?o Tàng ??ng Tháp - C? S? 2	Dong Thap Province	"226 Nguy?n Thái H?c, Ph??ng 1, Cao Lãnh, ??ng Tháp, Vi?t Nam"	10.45322334	105.6325125	https://www.tiktok.com/@filmbythuyduong/video/7581844068121038098	https://www.tiktok.com/embed/7581844068121038098
Khu Di Tích C? Nguy?n Sinh S?c	Dong Thap Province	"137 Ph?m H?u L?u, Ph??ng 4, Cao Lãnh, ??ng Tháp, Vi?t Nam"	10.44790865	105.632089	https://www.tiktok.com/@tranngoc1908/video/7451224529348726034	https://www.tiktok.com/embed/7451224529348726034
Khu Du L?ch Sinh Thái M? Ph??c Thành	Dong Thap Province	"266 Tôn ??c Th?ng, Ph??ng M? Phú, Cao Lãnh, ??ng Tháp, Vi?t Nam"	10.47123517	105.64813	https://www.tiktok.com/@real_ct/video/7189625908070747419	https://www.tiktok.com/embed/7189625908070747419
Ch? B?n Tre	Ben Tre Province	"30 Hùng V??ng, Ph??ng 1, B?n Tre, 930000, Vi?t Nam"	10.23500915	106.3763213	https://www.tiktok.com/@quankhonggo/video/7260825907575770375	https://www.tiktok.com/embed/7260825907575770375
?ình An H?i	Ben Tre Province	"Nguy?n ?ình Chi?u, Ph??ng 2, B?n Tre, Vi?t Nam"	10.23649715	106.3770138	https://www.tiktok.com/@co3xuduabentre/video/7569212466488462610	https://www.tiktok.com/embed/7569212466488462610
B?o Tàng B?n Tre	Ben Tre Province	"Hùng V??ng, Ph??ng 3, B?n Tre, Vi?t Nam"	10.23495695	106.3741535	https://www.tiktok.com/@vothanhmanofficial/video/7443783246766247184	https://www.tiktok.com/embed/7443783246766247184
Khu Du L?ch Lan V??ng	Ben Tre Province	"?T887, Phú Nhu?n, B?n Tre, Vi?t Nam"	10.20859407	106.3706927	https://www.tiktok.com/@saigonvivu.vn/video/7235821312395054341	https://www.tiktok.com/embed/7235821312395054341
??m Sinh Thái Gió ???c	Ben Tre Province	"???ng ?i?n gió s? 5, ?p Th?nh Th?i B, Th?nh Phú, B?n Tre, Vi?t Nam"	9.913907867	106.6598	https://www.tiktok.com/@miinh.tam/video/7517627036282785042	https://www.tiktok.com/embed/7517627036282785042
