province,shop_name,city,address,category,lat,lon
Da Nang,VinMart+,,Lê Thanh Nghị,convenience,16.0393723,108.2180248
Da Nang,WinMart+,,Đường Lê Độ,convenience,16.0678137,108.2014293
Da Nang,VinMart+,,Dũng Sĩ Thanh Khê,convenience,16.0725664,108.1783227
Da Nang,Linh Chi,,,,15.8793547,108.3209426
Da Nang,,,,clothes,15.8770574,108.3207159
Da Nang,Hiệu vải Ba-Ri,,,clothes,15.8785093,108.3285906
Da Nang,Hoàng Lô,,Trần Phú,clothes,15.87713,108.3266845
Da Nang,Lấp lánh,,Lê Lợi,gift,15.8774468,108.3286844
Da Nang,Ngọc đức,,Trần Phú,gift,15.8770215,108.3266907
Da Nang,,,,gift,15.8777882,108.3268299
Da Nang,Logo,,,gift,15.877118,108.3267862
Da Nang,"681, phan chu trinh",,Hai Bà Trưng,gift,15.8776644,108.3268363
Da Nang,Tú thủy,,,clothes,15.8784286,108.3268875
Da Nang,Hào,,,clothes,15.8790165,108.3285014
Da Nang,Tình cờ,,Trần Phú,gift,15.8771581,108.3274159
Da Nang,Minh Nhi,,Trần Hưng Đạo,clothes,15.8798078,108.3275436
Da Nang,Loan tân,,Trần Phú,gift,15.8770691,108.3277937
Da Nang,Amart,,Hai Bà Trưng,convenience,15.881445,108.3259167
Da Nang,Hiệu vải Thống Phi,,Lê Lợi,gift,15.8786837,108.3285403
Da Nang,nhà may sơn ca,,Trần Phú,clothes,15.8770619,108.3273973
Da Nang,New world,,,clothes,15.8765614,108.3289136
Da Nang,Me Xe Tailor,,Nguyễn Thái Học,clothes,15.8765633,108.328697
Da Nang,Smart Garden Homestay,Hội An,Hùng Vương,,15.8798106,108.318913
Da Nang,nam mart,,Dương Đình Nghệ,convenience,16.0686715,108.238898
Da Nang,minimart,,Hà Bổng,convenience,16.0658892,108.2444591
Da Nang,Q mart,,Đường Nguyễn Văn Thoại,convenience,16.0559014,108.2456155
Da Nang,seoul mart,,Dương Đình Nghệ,convenience,16.0690149,108.2376349
Da Nang,bách hoá mart,,Hồ Nghinh,convenience,16.0761593,108.2428977
Da Nang,mini mart,,An Cư 7,convenience,16.0765001,108.2414903
Da Nang,đà nẵng mart,,Đông Kinh Nghĩa Thục,convenience,16.0754639,108.2417494
Da Nang,G Mart,,Nguyễn Duy Hiệu,convenience,16.0555198,108.2385026
Da Nang,hello mart,,Nguyễn Duy Trinh,convenience,15.9981066,108.2620479
Da Nang,Ha Ha Art in Everything,,Trần Phú,gift,15.8770382,108.3263072
Da Nang,kid house,,Đường Thái Thị Bôi,clothes,16.0680366,108.1931432
Da Nang,Bio Garten,,Đường Hoàng Văn Thụ,convenience,16.0630238,108.2187558
Da Nang,,,,,15.8779737,108.3221254
Da Nang,,,,,15.877043,108.3262645
Da Nang,,,,clothes,15.8770912,108.3256682
