item_name,shop_name,city,address,price,material,category,lat,lon
None,supermarket,Tuyên Quang,"Đường Trần Hưng Đạo, Nông trường Việt Lâm, Xã Vị Xuyên, Tỉnh Tuyên Quang, Việt Nam",None,None,supermarket,22.6257019,104.9576343
Stihl,hardware,Tuyên Quang,"Stihl, Quốc lộ 2, Xã Tân Quang, Tỉnh Tuyên Quang, Việt Nam",None,None,hardware,22.4954741,104.8751153
Chien Motor,motorcycle_repair,Tuyên Quang,"Chien Motor, Quốc lộ 4C, Đoàn Kết, Sủng Là, Xã Đồng Văn, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2715828,105.3215221
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Đường tỉnh 178, Cốc Pài, Xã Pà Vầy Sủ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.6814157,104.4621341
Yamaha,motorcycle_repair,Tuyên Quang,"Yamaha, Đường tỉnh 178, Cốc Pài, Xã Pà Vầy Sủ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.6781416,104.4627034
Honda head,motorcycle_repair,Tuyên Quang,"Honda head, Đường Trường Chinh, Việt Quang, Xã Bắc Quang, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.4176507,104.8110903
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Đường tỉnh 178, Xã Nấm Dẩn, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.6109115,104.4852119
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, TL 178, Nà Chì, Xã Khuôn Lùng, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.5195952,104.5049751
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Đường tỉnh 178, Cốc Pài, Xã Pà Vầy Sủ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.6729911,104.4620419
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, TL 178, Nà Chì, Xã Khuôn Lùng, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.5113744,104.5139116
None,fuel,Tuyên Quang,"Đường tỉnh 178, Xã Nấm Dẩn, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,22.6122467,104.4853472
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Đường Nguyễn Trãi, Khu TĐC Bình Vàng, Xã Vị Xuyên, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.662838,104.9878363
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Đường tỉnh 178, Nà Chì, Xã Khuôn Lùng, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.5364864,104.5123819
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 279, Xã Tân Trịnh, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.4104735,104.7545626
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 2, Việt Quang, Xã Bắc Quang, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.4201635,104.8298347
Honda head,motorcycle_repair,Tuyên Quang,"Honda head, Đường Nguyễn Trãi, Khu TĐC Bình Vàng, Xã Vị Xuyên, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.6676115,104.9839167
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, TL 178, Xã Quang Bình, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.4777661,104.5566273
Yamaha town,motorcycle_repair,Tuyên Quang,"Yamaha town, Đường Nguyễn Trãi, Mè Thượng, Nguyễn Trãi, Hà Giang, Phường Hà Giang 1, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,motorcycle_repair,22.8056632,104.9785456
